Y,X,sell_type,square,kind,total_price,images
55.71508747,37.53390044,Покупка,190.0,Торговое помещение,96000000,"{""main"": {""75x55"": ""https://71.img.avito.st/image/1/QpDX_Law7nn3XoLFy7lCMWFd5HP3XoJ7YQ"", ""80x60"": ""https://71.img.avito.st/image/1/QpDX_La57nnBXpTFy7lCMWFb5HPBXFR5YV_qecFelHs"", ""100x75"": ""https://71.img.avito.st/image/1/QpDX_La_7nmpXnp63_UK1Stf6HNp_-_DY1_sfWOX7e1gXw"", ""140x105"": ""https://71.img.avito.st/image/1/QpDX_La_7nn5XT563_UK1Stf6HNp_-_DY1_sfWPH7qlgXw"", ""208x156"": ""https://71.img.avito.st/208x156/9981184671.jpg"", ""240x180"": ""https://71.img.avito.st/image/1/QpDX_La27nmBXAR53_UK1Stf7nNpv--TY1_s"", ""288x216"": ""https://71.img.avito.st/image/1/QpDX_La27nmhW1x43_UK1Stf7nNpn-jLYl_s"", ""432x324"": ""https://71.img.avito.st/image/1/QpDX_Lau7nmBWWR-3_UK1Stf7A"", ""640x480"": ""https://71.img.avito.st/640x480/9981184671.jpg"", ""1280x960"": ""https://71.img.avito.st/image/1/QpDX_Lax7nnhS2x03_UK1Stf7n1rXeR7"", ""140x105_nocrop"": ""https://71.img.avito.st/image/1/QpDX_Lau7nn5XT563_UK1Stf7A""}, ""count"": 7}"
55.748143000000006,37.540488,Снять,65.0,Офисное помещение,160000,"{""main"": {""75x55"": ""https://56.img.avito.st/image/1/dWpyjraw2YNSLLVRJqAXy8Qv04lSLLWBxA"", ""80x60"": ""https://56.img.avito.st/image/1/dWpyjra52YNkLKNRJqAXy8Qp04lkLmODxC3dg2Qso4E"", ""100x75"": ""https://56.img.avito.st/image/1/dWpyjra_2YMMLE2AFM9WTY4t34nMjdg5xi3bh8bl2hfFLQ"", ""140x105"": ""https://56.img.avito.st/image/1/dWpyjra_2YNcLwmAFM9WTY4t34nMjdg5xi3bh8a12VPFLQ"", ""208x156"": ""https://56.img.avito.st/208x156/10011916456.jpg"", ""240x180"": ""https://56.img.avito.st/image/1/dWpyjra22YMkLjODFM9WTY4t2YnMzdhpxi3b"", ""288x216"": ""https://56.img.avito.st/image/1/dWpyjra22YMEKWuCFM9WTY4t2YnM7d8xxy3b"", ""432x324"": ""https://56.img.avito.st/image/1/dWpyjrau2YMkK1OEFM9WTY4t2w"", ""640x480"": ""https://56.img.avito.st/640x480/10011916456.jpg"", ""1280x960"": ""https://56.img.avito.st/image/1/dWpyjrax2YNEOVuOFM9WTY4t2YfOL9OB"", ""140x105_nocrop"": ""https://56.img.avito.st/image/1/dWpyjrau2YNcLwmAFM9WTY4t2w""}, ""count"": 4}"
55.748265,37.581406,Снять,2531.0,Офисное помещение,10883300,"{""main"": {""75x55"": ""https://21.img.avito.st/image/1/YDAcO7awzNk8maAhZEonkqqaxtM8maDbqg"", ""80x60"": ""https://21.img.avito.st/image/1/YDAcO7a5zNkKmbYhZEonkqqcxtMKm3bZqpjI2QqZtts"", ""100x75"": ""https://21.img.avito.st/image/1/YDAcO7a_zNlimVjaUFYcMuOYytOiOM1jqJjO3ahQz02rmA"", ""140x105"": ""https://21.img.avito.st/image/1/YDAcO7a_zNkymhzaUFYcMuOYytOiOM1jqJjO3agAzAmrmA"", ""208x156"": ""https://21.img.avito.st/208x156/9908671421.jpg"", ""240x180"": ""https://21.img.avito.st/image/1/YDAcO7a2zNlKmybZUFYcMuOYzNOieM0zqJjO"", ""288x216"": ""https://21.img.avito.st/image/1/YDAcO7a2zNlqnH7YUFYcMuOYzNOiWMprqZjO"", ""432x324"": ""https://21.img.avito.st/image/1/YDAcO7auzNlKnkbeUFYcMuOYzg"", ""640x480"": ""https://21.img.avito.st/640x480/9908671421.jpg"", ""1280x960"": ""https://21.img.avito.st/image/1/YDAcO7axzNkqjE7UUFYcMuOYzN2gmsbb"", ""140x105_nocrop"": ""https://21.img.avito.st/image/1/YDAcO7auzNkymhzaUFYcMuOYzg""}, ""count"": 3}"
55.73255285,37.6368076,Покупка,274.0,Торговое помещение,131999999,"{""main"": {""75x55"": ""https://40.img.avito.st/image/1/pTFLF7awCdhrtWUqdCetkP22A9JrtWXa_Q"", ""80x60"": ""https://40.img.avito.st/image/1/pTFLF7a5CdhdtXMqdCetkP2wA9Jdt7PY_bQN2F21c9o"", ""100x75"": ""https://40.img.avito.st/image/1/pTFLF7a_Cdg1tZ3bDT2YfLe0D9L1FAhi_7QL3P98Ckz8tA"", ""140x105"": ""https://40.img.avito.st/image/1/pTFLF7a_CdhlttnbDT2YfLe0D9L1FAhi_7QL3P8sCQj8tA"", ""208x156"": ""https://40.img.avito.st/208x156/9972114040.jpg"", ""240x180"": ""https://40.img.avito.st/image/1/pTFLF7a2Cdgdt-PYDT2YfLe0CdL1VAgy_7QL"", ""288x216"": ""https://40.img.avito.st/image/1/pTFLF7a2Cdg9sLvZDT2YfLe0CdL1dA9q_rQL"", ""432x324"": ""https://40.img.avito.st/image/1/pTFLF7auCdgdsoPfDT2YfLe0Cw"", ""640x480"": ""https://40.img.avito.st/640x480/9972114040.jpg"", ""1280x960"": ""https://40.img.avito.st/image/1/pTFLF7axCdh9oIvVDT2YfLe0Cdz3tgPa"", ""140x105_nocrop"": ""https://40.img.avito.st/image/1/pTFLF7auCdhlttnbDT2YfLe0Cw""}, ""count"": 4}"
55.72961,37.570474,Покупка,3289.6,Помещение свободного назначения,500000000,"{""main"": {""75x55"": ""https://55.img.avito.st/image/1/HrzAVLawslXg9t7R2QUKFXb1uF_g9t5Xdg"", ""80x60"": ""https://55.img.avito.st/image/1/HrzAVLa5slXW9sjR2QUKFXbzuF_W9AhVdve2Vdb2yFc"", ""100x75"": ""https://55.img.avito.st/image/1/HrzAVLa_slW-9iZW8FhC7TT3tF9-V7PvdPewUXQ_scF39w"", ""140x105"": ""https://55.img.avito.st/image/1/HrzAVLa_slXu9WJW8FhC7TT3tF9-V7PvdPewUXRvsoV39w"", ""208x156"": ""https://55.img.avito.st/208x156/8920124355.jpg"", ""240x180"": ""https://55.img.avito.st/image/1/HrzAVLa2slWW9FhV8FhC7TT3sl9-F7O_dPew"", ""288x216"": ""https://55.img.avito.st/image/1/HrzAVLa2slW28wBU8FhC7TT3sl9-N7Tndfew"", ""432x324"": ""https://55.img.avito.st/image/1/HrzAVLauslWW8ThS8FhC7TT3sA"", ""640x480"": ""https://55.img.avito.st/640x480/8920124355.jpg"", ""1280x960"": ""https://55.img.avito.st/image/1/HrzAVLaxslX24zBY8FhC7TT3slF89bhX"", ""140x105_nocrop"": ""https://55.img.avito.st/image/1/HrzAVLauslXu9WJW8FhC7TT3sA""}, ""count"": 2}"
55.746734908137995,37.626618146896,Снять,395.0,Офисное помещение,3167999,"{""main"": {""75x55"": ""https://95.img.avito.st/image/1/huEDJLawKggjhka8aHa_QLWFIAIjhkYKtQ"", ""80x60"": ""https://95.img.avito.st/image/1/huEDJLa5KggVhlC8aHa_QLWDIAIVhJAItYcuCBWGUAo"", ""100x75"": ""https://95.img.avito.st/image/1/huEDJLa_Kgh9hr4LA1rZnf-HLAK9Jyuyt4coDLdPKZy0hw"", ""140x105"": ""https://95.img.avito.st/image/1/huEDJLa_KggthfoLA1rZnf-HLAK9Jyuyt4coDLcfKti0hw"", ""208x156"": ""https://95.img.avito.st/208x156/9957160795.jpg"", ""240x180"": ""https://95.img.avito.st/image/1/huEDJLa2KghVhMAIA1rZnf-HKgK9Zyvit4co"", ""288x216"": ""https://95.img.avito.st/image/1/huEDJLa2Kgh1g5gJA1rZnf-HKgK9Ryy6toco"", ""432x324"": ""https://95.img.avito.st/image/1/huEDJLauKghVgaAPA1rZnf-HKA"", ""640x480"": ""https://95.img.avito.st/640x480/9957160795.jpg"", ""1280x960"": ""https://95.img.avito.st/image/1/huEDJLaxKgg1k6gFA1rZnf-HKgy_hSAK"", ""140x105_nocrop"": ""https://95.img.avito.st/image/1/huEDJLauKggthfoLA1rZnf-HKA""}, ""count"": 12}"
55.721858,37.644521999999995,Покупка,58.0,Помещение свободного назначения,15610419,"{""main"": {""75x55"": ""https://68.img.avito.st/image/1/ebV1HLaw1VxVvrmWTU1AFcO931ZVvrleww"", ""80x60"": ""https://68.img.avito.st/image/1/ebV1HLa51Vxjvq-WTU1AFcO731ZjvG9cw7_RXGO-r14"", ""100x75"": ""https://68.img.avito.st/image/1/ebV1HLa_1VwLvkFfCzElyYi_01bLH9Tmwb_XWMF31sjCvw"", ""140x105"": ""https://68.img.avito.st/image/1/ebV1HLa_1VxbvQVfCzElyYi_01bLH9Tmwb_XWMEn1YzCvw"", ""208x156"": ""https://68.img.avito.st/208x156/10091381668.jpg"", ""240x180"": ""https://68.img.avito.st/image/1/ebV1HLa21VwjvD9cCzElyYi_1VbLX9S2wb_X"", ""288x216"": ""https://68.img.avito.st/image/1/ebV1HLa21VwDu2ddCzElyYi_1VbLf9PuwL_X"", ""432x324"": ""https://68.img.avito.st/image/1/ebV1HLau1VwjuV9bCzElyYi_1w"", ""640x480"": ""https://68.img.avito.st/640x480/10091381668.jpg"", ""1280x960"": ""https://68.img.avito.st/image/1/ebV1HLax1VxDq1dRCzElyYi_1VjJvd9e"", ""140x105_nocrop"": ""https://68.img.avito.st/image/1/ebV1HLau1VxbvQVfCzElyYi_1w""}, ""count"": 2}"
55.742199,37.672592,Снять,215.0,Офисное помещение,3934500,"{""main"": {""75x55"": ""https://36.img.avito.st/image/1/iRPQKrawJfrwiElQ01-5vWaLL_DwiEn4Zg"", ""80x60"": ""https://36.img.avito.st/image/1/iRPQKra5JfrGiF9Q01-5vWaNL_DGip_6Zokh-saIX_g"", ""100x75"": ""https://36.img.avito.st/image/1/iRPQKra_JfquiLH5zjzxZiOJI_BuKSRAZIkn_mRBJm5niQ"", ""140x105"": ""https://36.img.avito.st/image/1/iRPQKra_Jfr-i_X5zjzxZiOJI_BuKSRAZIkn_mQRJSpniQ"", ""208x156"": ""https://36.img.avito.st/208x156/9293188436.jpg"", ""240x180"": ""https://36.img.avito.st/image/1/iRPQKra2JfqGis_6zjzxZiOJJfBuaSQQZIkn"", ""288x216"": ""https://36.img.avito.st/image/1/iRPQKra2JfqmjZf7zjzxZiOJJfBuSSNIZYkn"", ""432x324"": ""https://36.img.avito.st/image/1/iRPQKrauJfqGj6_9zjzxZiOJJw"", ""640x480"": ""https://36.img.avito.st/640x480/9293188436.jpg"", ""1280x960"": ""https://36.img.avito.st/image/1/iRPQKraxJfrmnaf3zjzxZiOJJf5siy_4"", ""140x105_nocrop"": ""https://36.img.avito.st/image/1/iRPQKrauJfr-i_X5zjzxZiOJJw""}, ""count"": 16}"
55.710027000000004,37.623834,Снять,1672.0,Офисное помещение,3345660,"{""main"": {""75x55"": ""https://95.img.avito.st/image/1/wiKsVrawbsuM9AJ3qljWgBr3ZMGM9ALJGg"", ""80x60"": ""https://95.img.avito.st/image/1/wiKsVra5bsu69BR3qljWgBrxZMG69tTLGvVqy7r0FMk"", ""100x75"": ""https://95.img.avito.st/image/1/wiKsVra_bsvS9PrIpEXBc1P1aMESVW9xGPVszxg9bV8b9Q"", ""140x105"": ""https://95.img.avito.st/image/1/wiKsVra_bsuC977IpEXBc1P1aMESVW9xGPVszxhtbhsb9Q"", ""208x156"": ""https://95.img.avito.st/208x156/9859083295.jpg"", ""240x180"": ""https://95.img.avito.st/image/1/wiKsVra2bsv69oTLpEXBc1P1bsESFW8hGPVs"", ""288x216"": ""https://95.img.avito.st/image/1/wiKsVra2bsva8dzKpEXBc1P1bsESNWh5GfVs"", ""432x324"": ""https://95.img.avito.st/image/1/wiKsVraubsv68-TMpEXBc1P1bA"", ""640x480"": ""https://95.img.avito.st/640x480/9859083295.jpg"", ""1280x960"": ""https://95.img.avito.st/image/1/wiKsVraxbsua4ezGpEXBc1P1bs8Q92TJ"", ""140x105_nocrop"": ""https://95.img.avito.st/image/1/wiKsVraubsuC977IpEXBc1P1bA""}, ""count"": 10}"
55.7320943,37.6206046,Покупка,500.0,Офисное помещение,92750000,"{""main"": {""75x55"": ""https://68.img.avito.st/image/1/Ea4KybawvUcqa9HdG-VHaLxot00qa9FFvA"", ""80x60"": ""https://68.img.avito.st/image/1/Ea4Kyba5vUcca8fdG-VHaLxut00caQdHvGq5Rxxrx0U"", ""100x75"": ""https://68.img.avito.st/image/1/Ea4Kyba_vUd0aylEJM0wvZFqu020yrz9vmq_Q76ivtO9ag"", ""140x105"": ""https://68.img.avito.st/image/1/Ea4Kyba_vUckaG1EJM0wvZFqu020yrz9vmq_Q77yvZe9ag"", ""208x156"": ""https://68.img.avito.st/208x156/6165752268.jpg"", ""240x180"": ""https://68.img.avito.st/image/1/Ea4Kyba2vUdcaVdHJM0wvZFqvU20irytvmq_"", ""288x216"": ""https://68.img.avito.st/image/1/Ea4Kyba2vUd8bg9GJM0wvZFqvU20qrv1v2q_"", ""432x324"": ""https://68.img.avito.st/image/1/Ea4KybauvUdcbDdAJM0wvZFqvw"", ""640x480"": ""https://68.img.avito.st/640x480/6165752268.jpg"", ""1280x960"": ""https://68.img.avito.st/image/1/Ea4KybaxvUc8fj9KJM0wvZFqvUO2aLdF"", ""140x105_nocrop"": ""https://68.img.avito.st/image/1/Ea4KybauvUckaG1EJM0wvZFqvw""}, ""count"": 8}"
